PV (kWh),Load (kWh),Price ($/kWh)
0.0,1488.5,0.5169
0.0,1415.0,0.5133
0.0,1381.5,0.4521
0.0,1372.0,0.4273
0.0,1381.5,0.4201
0.0,1438.5,0.4327
0.0,1579.5,0.4899
0.0,1839.0,0.6
139.5,1965.0,0.6886
636.0,1974.5,0.7091
1286.5,1974.0,0.763
1870.5,1977.0,0.7542
2274.0,1966.5,0.7219
2423.0,1937.5,0.6965
2336.5,1923.5,0.6960999999999999
2038.5,1891.0,0.6607999999999999
1607.0,1892.5,0.6851
1111.0,2012.0,0.7848
601.0,2168.5,0.9191
177.5,2159.5,0.8814
0.0,2104.5,0.8541
0.0,2001.0,0.8554999999999999
0.0,1859.0,0.63
0.0,1690.0,0.5433
0.0,1556.0,0.5284
0.0,1470.5,0.5095000000000001
0.0,1426.5,0.446
0.0,1406.5,0.4276
0.0,1413.5,0.4268
0.0,1458.0,0.4247
0.0,1608.0,0.4766
0.0,1864.5,0.625
139.5,1968.0,0.6958
636.0,1967.0,0.63
1286.5,1968.0,0.7529
1870.5,1964.0,0.7415999999999999
2274.0,1942.0,0.7008
2423.0,1923.5,0.6888
2336.5,1899.0,0.6531999999999999
2038.5,1870.5,0.6332
1607.0,1873.0,0.6552
1111.0,2000.0,0.7622
601.0,2133.0,0.8831
177.5,2125.5,0.8173
0.0,2077.0,0.7676000000000001
0.0,1985.0,0.7317
0.0,1846.0,0.6919
0.0,1672.0,0.5659000000000001
0.0,1536.5,0.5196000000000001
0.0,1448.5,0.5356000000000001
0.0,1406.5,0.4875
0.0,1380.0,0.4336
0.0,1390.0,0.4272
0.0,1432.5,0.4465
0.0,1547.5,0.4894
0.0,1722.0,0.7048000000000001
139.5,1841.0,0.7382
636.0,1901.0,0.858
1286.5,1957.5,0.9035
1870.5,2009.0,0.9527
2274.0,2029.0,0.9216
2423.0,2018.0,0.9999
2336.5,1989.5,0.8881999999999999
2038.5,1946.0,0.8848
1607.0,1916.0,0.8719
1111.0,2018.0,1.007
601.0,2157.5,1.1065
177.5,2116.5,1.0422
0.0,2016.5,0.9824
0.0,1906.0,0.9096
0.0,1760.0,0.7658
0.0,1601.0,0.5705
0.0,1482.5,0.6175
0.0,1394.0,0.5817
0.0,1357.0,0.5196000000000001
0.0,1339.0,0.4945000000000001
0.0,1346.0,0.4767
0.0,1391.0,0.479
0.0,1535.0,0.5672
0.0,1773.0,0.7737999999999999
139.5,1878.5,0.9615
636.0,1877.5,0.8987
1286.5,1886.0,0.9705
1870.5,1897.5,1.0754
2274.0,1896.0,1.0801
2423.0,1870.5,1.0481
2336.5,1866.5,0.9771
2038.5,1848.5,0.8875
1607.0,1851.5,0.95
1111.0,1961.0,1.1538
601.0,2108.0,1.2926
177.5,2111.0,1.2383
0.0,2069.5,1.1752
0.0,1988.5,1.13
0.0,1836.5,0.9432
0.0,1679.0,0.7589
0.0,1547.0,0.7071
0.0,1459.5,0.7604000000000001
0.0,1419.0,0.6473
0.0,1401.5,0.5874
0.0,1404.5,0.5656
0.0,1443.5,0.5648
0.0,1578.0,0.67
0.0,1825.5,0.9656
139.5,1948.0,1.0885
636.0,1950.0,1.1096
1286.5,1950.5,1.2691
1870.5,1955.5,1.3515
2274.0,1941.0,1.3306
2423.0,1925.5,1.3249000000000002
2336.5,1908.0,1.25
2038.5,1872.5,1.1011
1607.0,1860.0,1.0828
1111.0,1955.0,1.3324
601.0,2081.0,1.4459
177.5,2057.0,1.3737
0.0,2002.5,1.3
0.0,1947.0,1.2154
0.0,1857.5,1.1254
0.0,1729.5,0.9856
0.0,1608.5,0.8020999999999999
0.0,1515.0,0.6263000000000001
0.0,1467.0,0.5720000000000001
0.0,1445.0,0.5771999999999999
0.0,1435.5,0.5427000000000001
0.0,1455.0,0.5432
0.0,1512.5,0.5444
0.0,1623.5,0.5978
139.5,1756.0,0.62
636.0,1851.5,0.6746
1286.5,1902.5,0.7781
1870.5,1896.5,0.8784000000000001
2274.0,1871.5,0.9372
2423.0,1833.5,0.8461
2336.5,1794.5,0.6457999999999999
2038.5,1783.0,0.62
1607.0,1796.5,0.62
1111.0,1919.5,0.87
601.0,2041.0,1.14
177.5,2008.5,1.18
0.0,1938.0,1.16
0.0,1873.5,0.9335
0.0,1763.5,0.8744
0.0,1629.0,0.62
0.0,1514.0,0.62
0.0,1408.5,0.5653
0.0,1360.5,0.4756
0.0,1330.0,0.4777
0.0,1322.0,0.4397
0.0,1335.0,0.4434
0.0,1373.5,0.4271
0.0,1453.5,0.4568
139.5,1559.5,0.4453
636.0,1679.5,0.4723
1286.5,1751.5,0.5439
1870.5,1769.0,0.5506
2274.0,1775.5,0.5458
2423.0,1758.0,0.5444
2336.5,1742.5,0.5051
2038.5,1734.0,0.5
1607.0,1754.0,0.5075999999999999
1111.0,1882.0,0.5954
601.0,2007.0,0.9046
177.5,1992.0,0.8454
0.0,1914.0,0.7369
0.0,1863.0,0.71
0.0,1745.5,0.62
0.0,1618.0,0.5167
0.0,1512.5,0.5493
0.0,1434.0,0.586
0.0,1399.0,0.4988
0.0,1391.5,0.5347
0.0,1398.0,0.5188
0.0,1450.5,0.52
0.0,1567.5,0.5386
0.0,1754.5,0.7155
139.5,1900.0,0.7372
636.0,1982.0,0.6776000000000001
1286.5,2020.5,0.7564
1870.5,2033.5,0.8131
2274.0,2020.5,0.8354
2423.0,1983.0,0.7468
2336.5,1954.0,0.6884999999999999
2038.5,1923.0,0.623
1607.0,1921.0,0.6067
1111.0,2029.5,0.7665000000000001
601.0,2199.0,0.9365
177.5,2187.0,0.9287
0.0,2136.5,0.8062999999999999
0.0,2041.5,0.7551000000000001
0.0,1890.5,0.62
0.0,1736.0,0.5464
0.0,1607.0,0.5816
0.0,1527.0,0.5669
0.0,1482.5,0.4914
0.0,1449.0,0.4693
0.0,1451.0,0.4623
0.0,1496.0,0.4143
0.0,1640.5,0.5702
0.0,1864.0,0.6517000000000001
139.5,1978.0,0.8047
636.0,2004.5,0.7874
1286.5,2018.0,0.8568000000000001
1870.5,2039.0,0.8972
2274.0,2051.5,0.8664000000000001
2423.0,2040.5,0.8026000000000001
2336.5,2029.0,0.7998999999999999
2038.5,1991.5,0.7797
1607.0,1978.5,0.7816
1111.0,2064.0,0.8312999999999999
601.0,2178.0,0.944
177.5,2141.0,0.9047
0.0,2057.0,0.8493
0.0,1928.0,0.7399
0.0,1772.5,0.62
0.0,1608.5,0.5085000000000001
0.0,1471.5,0.4917
0.0,1385.0,0.4735
0.0,1337.0,0.4382
0.0,1309.0,0.4109
0.0,1313.0,0.4082
0.0,1354.0,0.4085
0.0,1486.5,0.4325
0.0,1710.5,0.6399
139.5,1828.0,0.6605
636.0,1854.0,0.6531
1286.5,1860.0,0.6807
1870.5,1872.5,0.7358
2274.0,1882.0,0.7156999999999999
2423.0,1880.0,0.677
2336.5,1875.0,0.6528
2038.5,1862.5,0.6291
1607.0,1851.5,0.6593000000000001
1111.0,1943.5,0.7081000000000001
601.0,2070.5,0.9192
177.5,2070.0,0.87
0.0,2013.0,0.8040999999999999
0.0,1918.0,0.6859000000000001
0.0,1776.5,0.5672999999999999
0.0,1623.0,0.5131
0.0,1486.0,0.5162
0.0,1397.5,0.5751
0.0,1355.0,0.5025
0.0,1331.5,0.4694
0.0,1332.5,0.4694
0.0,1379.5,0.478
0.0,1533.5,0.5222
0.0,1781.0,0.7176
139.5,1891.0,0.85
636.0,1893.0,0.8017
1286.5,1888.5,0.8189
1870.5,1885.5,0.8057
2274.0,1882.5,0.7693000000000001
2423.0,1864.0,0.7471
2336.5,1863.5,0.7129000000000001
2038.5,1840.0,0.6954
1607.0,1837.0,0.721
1111.0,1940.0,0.7842
601.0,2097.5,1.1217
